Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Float,Short Ratio,Avg Volume,Price,Change %,Volume,datetime
OORCL,433570000000.0,2880000000.0,1710000000.0,0.4048,-0.0004,0.4401,-0.0166,2.92%,1.57,31910000.0,150.52,-3.65%,21824713.0,2026-08-14 22:04:43
CCOST,426230000000.0,443510000.0,442930000.0,0.0012,-0.0043,0.7117,-0.0009,1.73%,3.22,2380000.0,961.1,-0.08%,1165084.0,2026-08-14 22:04:43
PPLTR,418230000000.0,2400000000.0,2200000000.0,0.08539999999999999,-0.0203,0.5811999999999999,-0.009899999999999999,3.10%,1.57,43280000.0,174.04,-2.78%,23983658.0,2026-08-14 22:04:43
LLRCX,415890000000.0,1250000000.0,1250000000.0,0.0033,-0.0709,0.8451000000000001,-0.0213,2.16%,2.33,11590000.0,332.36,-1.38%,7420307.0,2026-08-14 22:04:43
AAMAT,402680000000.0,793960000.0,790010000.0,0.005,-0.0681,0.8206,-0.0167,1.80%,1.47,9670000.0,507.18,-5.12%,13112114.0,2026-08-14 22:04:43
CCVX,395150000000.0,1980000000.0,1970000000.0,0.0034999999999999996,-0.23120000000000002,0.7445999999999999,0.0086,1.03%,2.27,8900000.0,200.0,1.16%,7907102.0,2026-08-14 22:04:43
CCAT,393740000000.0,459670000.0,458600000.0,0.0023,-0.095,0.7276,-0.010700000000000001,1.49%,2.11,3250000.0,856.57,0.23%,1893379.0,2026-08-14 22:04:43
GGE,382220000000.0,1040000000.0,1030000000.0,0.003,-0.0063,0.8148000000000001,-0.0132,1.38%,3.19,4460000.0,368.38,2.15%,2965189.0,2026-08-14 22:04:43
KKO,377380000000.0,4300000000.0,4269999999.9999995,0.0070999999999999995,-0.0728,0.763,0.0002,1.05%,2.52,17750000.0,87.71,0.33%,9159431.0,2026-08-14 22:04:43
UUNH,360590000000.0,905000000.0,895500000.0,0.0023,-0.0006,0.8653,-0.0014000000000000002,1.68%,2.49,6070000.0,401.73,0.67%,3474221.0,2026-08-14 22:04:43
HHSBC,356670000000.0,3440000000.0,3440000000.0,0.0,,0.024900000000000002,0.23989999999999997,0.16%,3.76,1500000.0,103.79,-0.25%,603961.0,2026-08-14 22:04:43
MMS,341380000000.0,1570000000.0,1190000000.0,0.2412,-0.0004,0.6318,-0.011899999999999999,1.12%,2.27,5870000.0,217.36,-0.47%,3405813.0,2026-08-14 22:04:43
HHD,337880000000.0,997000000.0,996240000.0,0.0009,-0.0048,0.7558,-0.0008,1.23%,2.66,4630000.0,338.86,-0.83%,3072389.0,2026-08-14 22:04:43
PPG,336000000000.0,2320000000.0,2320000000.0,0.0008,-0.012,0.7154,-0.0032,1.17%,3.06,8860000.0,144.55,0.20%,7249502.0,2026-08-14 22:04:43
MMRK,335140000000.0,2470000000.0,2460000000.0,0.0018,-0.0489,0.8175,-0.0016,1.15%,2.78,10170000.0,135.84,0.21%,6867745.0,2026-08-14 22:04:43
NNFLX,325450000000.0,4160000000.0,4139999999.9999995,0.0064,-0.0706,0.8345999999999999,0.0036,2.23%,2.16,42760000.0,78.16,-0.10%,26677520.0,2026-08-14 22:04:43
DDELL,318180000000.0,324000000.0,301270000.0,0.5353,-0.028399999999999998,0.4048,-0.0318,4.37%,1.52,8670000.0,490.81,-0.75%,3988745.0,2026-08-14 22:04:43
PPANW,313180000000.0,813000000.0,806720000.0,0.0102,-0.0078000000000000005,0.8057,0.0724,2.60%,2.71,7740000.0,384.27,-2.96%,4347122.0,2026-08-14 22:04:43
GGS,302650000000.0,291440000.0,289170000.0,0.0069,-0.0187,0.7483,-0.0191,2.15%,2.89,2150000.0,1039.42,-0.31%,1592718.0,2026-08-14 22:04:43
RRY,300970000000.0,1390000000.0,1390000000.0,0.0028000000000000004,0.0,0.5265,-0.026600000000000002,0.48%,4.43,1500000.0,216.56,0.73%,1193548.0,2026-08-14 22:04:43
RRTX,300510000000.0,1350000000.0,1350000000.0,0.0008,-0.1186,0.8056,-0.0049,1.34%,3.44,5250000.0,222.97,1.13%,2870256.0,2026-08-14 22:04:43
AARM,298440000000.0,1070000000.0000001,1060000000.0,0.0046,-0.0581,0.084,0.0088,1.59%,1.83,9230000.0,279.44,0.28%,2087992.0,2026-08-14 22:04:43
BBABA,296760000000.0,2400000000.0,2390000000.0,0.001,-0.29710000000000003,0.1015,-0.0482,1.75%,3.5,11940000.0,123.81,1.35%,8209694.0,2026-08-14 22:04:43
PPM,296740000000.0,1560000000.0,1560000000.0,0.0022,-0.0441,0.8392000000000001,-0.0019,1.04%,3.24,4970000.0,190.39,0.78%,4579029.0,2026-08-14 22:04:43
