pv,bond_dirty_price,ls,lt,dp,type,du,id,iopv,ig,ed,change_vs_pc_percentage,ej,clo,el,v_,ex,nc,vl,cur,fn,trading_time,bl,sc,bv,dpc,iiv,sip,bond_clean_price,cc,ptd,b,issuer-name,c,sv,h,i,cn,l,m,n,o,p_,cr,p,bond_accrued_interest,change_vs_pc,r,s,cx,v,lf,bond_date,datetime,datetime_sg
0.131,,P,0.137,,structuredwarrants,,0,0.0,16.0,2026-09-29,,,,21.5,,,NFUW,1.0,SGD,,20260709_091600,100,,0.0,,,@,,,,,SGX MB eCW260929,0.006,0.0,0.137,,,0.137,MAINBOARD,SGX MB eCW260929,0.137,,25:1,4.58,,,,,0.0,137.0,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.066,,P,0.076,,structuredwarrants,,0,0.0,16.0,2026-12-30,,,,26.0,,,XNIW,1753.0,SGD,,20260709_091600,100,,100.0,,,@,,,,0.067,SGX MB eCW261230,0.01,0.0,0.077,,,0.066,MAINBOARD,SGX MB eCW261230,0.066,,25:1,15.152,,,,,0.0,128898.0,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.006,,P,0.006,,structuredwarrants,,0,0.0,17.0,2026-07-30,,,,16.5,,,RSFW,0.0,SGD,,20260709_091600,100,,0.0,,,@,,,,,SGX MB ePW260730,0.0,0.0,0.0,,,0.0,MAINBOARD,SGX MB ePW260730,0.0,,25:1,0.0,,,,,0.0,0.0,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.037,,P,0.037,,stocks,,0,0.0,,,,,,0.0,,,SES,0.0,SGD,,20260709_091600,100,C,50.0,,,,,,20260629,0.028,Shanaya,0.0,77.1,0.0,,,0.0,CATALIST,Shanaya,0.0,,,0.0,,,,0.040,0.0,0.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.035,,P,0.035,,stocks,,0,0.0,,,,,,0.0,,,AWM,0.0,SGD,,20260709_091600,100,C,0.8,,,,,,20260708,0.024,Shanghai Turbo,0.0,17.8,0.0,,,0.0,MAINBOARD,Shanghai Turbo,0.0,,,0.0,,,,0.037,0.0,0.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
4.02,,S,4.02,,stocks,,0,0.0,,,,Developed,None,0.0,,SEHK,S07,0.0,HKD,,20260709_091600,100,I,0.1,,,,,,20260707,4.010,Shangri-La HKD,0.0,48.8,0.0,,,0.0,MAINBOARD,Shangri-La HKD,0.0,,,0.0,,,,4.300,0.0,0.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.18,,P,0.18,,stocks,,0,0.0,,,,,,0.0,,,SGR,0.0,SGD,,20260709_091600,100,N,20.0,,,,,,20260706,0.150,Sheffield Green,0.0,1.1,0.0,,,0.0,CATALIST,Sheffield Green,0.0,,,0.0,,,,0.179,0.0,0.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.002,,P,0.002,,stocks,,0,0.0,,,,,,0.0,,,A78,0.0,SGD,,20260709_091600,100,B,0.0,,,,,,20230320,,Shen Yao,0.0,0.0,0.0,SUSP,,0.0,CATALIST,Shen Yao,0.0,,,0.0,,,,,0.0,0.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
3.26,,P,3.28,,stocks,,0,0.0,,,,,,0.0,,,OV8,979.8,SGD,,20260709_091600,100,G,73.8,,,,,,20260708,3.270,Sheng Siong,0.02,5.8,3.29,,,3.26,MAINBOARD,Sheng Siong,3.26,,,0.613,,,,3.280,0.0,3210591.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.034,,P,0.034,,structuredwarrants,,0,0.0,16.0,2026-09-30,,,,2.88,,,XTJW,0.0,SGD,,20260709_091600,100,,0.0,,,@,,,,,ShengSiong MBeCW260930,0.0,0.0,0.0,,,0.0,MAINBOARD,ShengSiong MBeCW260930,0.0,,12:1,0.0,,,,,0.0,0.0,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
